owner,repo,weekofyear,total_stars
BVLC,caffe,1,8
BVLC,caffe,2,104
BVLC,caffe,3,99
BVLC,caffe,4,96
BVLC,caffe,5,132
BVLC,caffe,6,120
BVLC,caffe,7,192
BVLC,caffe,8,175
BVLC,caffe,9,110
BVLC,caffe,10,103
BVLC,caffe,11,85
BVLC,caffe,12,113
BVLC,caffe,13,137
BVLC,caffe,14,114
BVLC,caffe,15,124
BVLC,caffe,16,116
BVLC,caffe,17,132
BVLC,caffe,18,108
BVLC,caffe,19,90
BVLC,caffe,20,87
BVLC,caffe,21,104
BVLC,caffe,22,129
BVLC,caffe,23,154
BVLC,caffe,24,155
BVLC,caffe,25,164
BVLC,caffe,26,161
BVLC,caffe,27,155
BVLC,caffe,28,154
BVLC,caffe,29,144
BVLC,caffe,30,148
BVLC,caffe,31,114
BVLC,caffe,32,117
BVLC,caffe,33,155
BVLC,caffe,34,128
BVLC,caffe,35,145
BVLC,caffe,36,132
BVLC,caffe,37,121
BVLC,caffe,38,120
BVLC,caffe,39,112
BVLC,caffe,40,134
BVLC,caffe,41,114
BVLC,caffe,42,142
BVLC,caffe,43,153
BVLC,caffe,44,144
BVLC,caffe,45,141
BVLC,caffe,46,179
BVLC,caffe,47,131
BVLC,caffe,48,143
BVLC,caffe,49,145
BVLC,caffe,50,133
BVLC,caffe,51,105
BVLC,caffe,52,155
GoogleCloudPlatform,DataflowJavaSDK,2,3
GoogleCloudPlatform,DataflowJavaSDK,3,2
GoogleCloudPlatform,DataflowJavaSDK,4,6
GoogleCloudPlatform,DataflowJavaSDK,5,2
GoogleCloudPlatform,DataflowJavaSDK,6,1
GoogleCloudPlatform,DataflowJavaSDK,7,2
GoogleCloudPlatform,DataflowJavaSDK,8,3
GoogleCloudPlatform,DataflowJavaSDK,9,3
GoogleCloudPlatform,DataflowJavaSDK,10,1
GoogleCloudPlatform,DataflowJavaSDK,11,6
GoogleCloudPlatform,DataflowJavaSDK,12,5
GoogleCloudPlatform,DataflowJavaSDK,13,1
GoogleCloudPlatform,DataflowJavaSDK,15,3
GoogleCloudPlatform,DataflowJavaSDK,16,3
GoogleCloudPlatform,DataflowJavaSDK,17,89
GoogleCloudPlatform,DataflowJavaSDK,18,32
GoogleCloudPlatform,DataflowJavaSDK,19,11
GoogleCloudPlatform,DataflowJavaSDK,20,9
GoogleCloudPlatform,DataflowJavaSDK,21,11
GoogleCloudPlatform,DataflowJavaSDK,22,7
GoogleCloudPlatform,DataflowJavaSDK,23,10
GoogleCloudPlatform,DataflowJavaSDK,24,4
GoogleCloudPlatform,DataflowJavaSDK,25,4
GoogleCloudPlatform,DataflowJavaSDK,26,11
GoogleCloudPlatform,DataflowJavaSDK,27,1
GoogleCloudPlatform,DataflowJavaSDK,28,4
GoogleCloudPlatform,DataflowJavaSDK,29,6
GoogleCloudPlatform,DataflowJavaSDK,30,5
GoogleCloudPlatform,DataflowJavaSDK,31,5
GoogleCloudPlatform,DataflowJavaSDK,32,6
GoogleCloudPlatform,DataflowJavaSDK,33,7
GoogleCloudPlatform,DataflowJavaSDK,34,8
GoogleCloudPlatform,DataflowJavaSDK,35,3
GoogleCloudPlatform,DataflowJavaSDK,36,7
GoogleCloudPlatform,DataflowJavaSDK,37,6
GoogleCloudPlatform,DataflowJavaSDK,38,4
GoogleCloudPlatform,DataflowJavaSDK,39,2
GoogleCloudPlatform,DataflowJavaSDK,40,2
GoogleCloudPlatform,DataflowJavaSDK,41,3
GoogleCloudPlatform,DataflowJavaSDK,42,4
GoogleCloudPlatform,DataflowJavaSDK,43,3
GoogleCloudPlatform,DataflowJavaSDK,44,2
GoogleCloudPlatform,DataflowJavaSDK,45,3
GoogleCloudPlatform,DataflowJavaSDK,46,3
GoogleCloudPlatform,DataflowJavaSDK,47,3
GoogleCloudPlatform,DataflowJavaSDK,48,5
GoogleCloudPlatform,DataflowJavaSDK,49,2
GoogleCloudPlatform,DataflowJavaSDK,50,3
GoogleCloudPlatform,DataflowJavaSDK,51,3
GoogleCloudPlatform,DataflowJavaSDK,52,1
GoogleCloudPlatform,DataflowPythonSDK,22,19
GoogleCloudPlatform,DataflowPythonSDK,23,6
GoogleCloudPlatform,DataflowPythonSDK,24,7
GoogleCloudPlatform,DataflowPythonSDK,25,4
GoogleCloudPlatform,DataflowPythonSDK,26,14
GoogleCloudPlatform,DataflowPythonSDK,27,12
GoogleCloudPlatform,DataflowPythonSDK,28,5
GoogleCloudPlatform,DataflowPythonSDK,29,6
GoogleCloudPlatform,DataflowPythonSDK,30,3
GoogleCloudPlatform,DataflowPythonSDK,31,5
GoogleCloudPlatform,DataflowPythonSDK,32,6
GoogleCloudPlatform,DataflowPythonSDK,33,2
GoogleCloudPlatform,DataflowPythonSDK,34,3
GoogleCloudPlatform,DataflowPythonSDK,35,1
GoogleCloudPlatform,DataflowPythonSDK,36,3
GoogleCloudPlatform,DataflowPythonSDK,37,1
GoogleCloudPlatform,DataflowPythonSDK,38,6
GoogleCloudPlatform,DataflowPythonSDK,39,2
GoogleCloudPlatform,DataflowPythonSDK,40,3
GoogleCloudPlatform,DataflowPythonSDK,43,1
GoogleCloudPlatform,DataflowPythonSDK,44,1
GoogleCloudPlatform,DataflowPythonSDK,47,1
GoogleCloudPlatform,DataflowPythonSDK,48,1
GoogleCloudPlatform,DataflowPythonSDK,49,3
GoogleCloudPlatform,DataflowPythonSDK,50,2
GoogleCloudPlatform,DataflowPythonSDK,51,2
GoogleCloudPlatform,DataflowPythonSDK,52,2
GoogleCloudPlatform,appengine-angular-gotodos,2,1
GoogleCloudPlatform,appengine-angular-gotodos,5,1
GoogleCloudPlatform,appengine-angular-gotodos,6,1
GoogleCloudPlatform,appengine-angular-gotodos,11,2
GoogleCloudPlatform,appengine-angular-gotodos,13,1
GoogleCloudPlatform,appengine-angular-gotodos,16,1
GoogleCloudPlatform,appengine-angular-gotodos,21,1
GoogleCloudPlatform,appengine-angular-gotodos,24,1
GoogleCloudPlatform,appengine-angular-gotodos,26,1
GoogleCloudPlatform,appengine-angular-gotodos,36,1
GoogleCloudPlatform,appengine-angular-gotodos,39,1
GoogleCloudPlatform,appengine-angular-gotodos,44,1
GoogleCloudPlatform,appengine-guestbook-python,2,1
GoogleCloudPlatform,appengine-guestbook-python,6,3
GoogleCloudPlatform,appengine-guestbook-python,7,1
GoogleCloudPlatform,appengine-guestbook-python,8,1
GoogleCloudPlatform,appengine-guestbook-python,9,1
GoogleCloudPlatform,appengine-guestbook-python,11,2
GoogleCloudPlatform,appengine-guestbook-python,12,1
GoogleCloudPlatform,appengine-guestbook-python,14,1
GoogleCloudPlatform,appengine-guestbook-python,17,2
GoogleCloudPlatform,appengine-guestbook-python,18,1
GoogleCloudPlatform,appengine-guestbook-python,19,3
GoogleCloudPlatform,appengine-guestbook-python,20,1
GoogleCloudPlatform,appengine-guestbook-python,21,1
GoogleCloudPlatform,appengine-guestbook-python,23,1
GoogleCloudPlatform,appengine-guestbook-python,24,1
GoogleCloudPlatform,appengine-guestbook-python,26,1
GoogleCloudPlatform,appengine-guestbook-python,28,1
GoogleCloudPlatform,appengine-guestbook-python,29,1
GoogleCloudPlatform,appengine-guestbook-python,30,2
GoogleCloudPlatform,appengine-guestbook-python,36,1
GoogleCloudPlatform,appengine-guestbook-python,38,2
GoogleCloudPlatform,appengine-guestbook-python,41,1
GoogleCloudPlatform,appengine-guestbook-python,43,2
GoogleCloudPlatform,appengine-guestbook-python,45,1
GoogleCloudPlatform,appengine-guestbook-python,46,2
GoogleCloudPlatform,appengine-guestbook-python,51,1
GoogleCloudPlatform,appengine-guestbook-python,52,1
GoogleCloudPlatform,appengine-mapreduce,2,2
GoogleCloudPlatform,appengine-mapreduce,3,1
GoogleCloudPlatform,appengine-mapreduce,5,1
GoogleCloudPlatform,appengine-mapreduce,6,4
GoogleCloudPlatform,appengine-mapreduce,7,3
GoogleCloudPlatform,appengine-mapreduce,9,1
GoogleCloudPlatform,appengine-mapreduce,13,1
GoogleCloudPlatform,appengine-mapreduce,16,1
GoogleCloudPlatform,appengine-mapreduce,17,3
GoogleCloudPlatform,appengine-mapreduce,18,2
GoogleCloudPlatform,appengine-mapreduce,19,3
GoogleCloudPlatform,appengine-mapreduce,21,1
GoogleCloudPlatform,appengine-mapreduce,22,1
GoogleCloudPlatform,appengine-mapreduce,23,1
GoogleCloudPlatform,appengine-mapreduce,24,1
GoogleCloudPlatform,appengine-mapreduce,25,5
GoogleCloudPlatform,appengine-mapreduce,27,4
GoogleCloudPlatform,appengine-mapreduce,28,2
GoogleCloudPlatform,appengine-mapreduce,29,1
GoogleCloudPlatform,appengine-mapreduce,31,1
GoogleCloudPlatform,appengine-mapreduce,33,1
GoogleCloudPlatform,appengine-mapreduce,36,2
GoogleCloudPlatform,appengine-mapreduce,37,1
GoogleCloudPlatform,appengine-mapreduce,38,3
GoogleCloudPlatform,appengine-mapreduce,40,2
GoogleCloudPlatform,appengine-mapreduce,41,1
GoogleCloudPlatform,appengine-mapreduce,42,1
GoogleCloudPlatform,appengine-mapreduce,43,1
GoogleCloudPlatform,appengine-mapreduce,45,1
GoogleCloudPlatform,appengine-mapreduce,47,1
GoogleCloudPlatform,appengine-mapreduce,49,1
GoogleCloudPlatform,appengine-mapreduce,50,1
GoogleCloudPlatform,appengine-mapreduce,51,1
GoogleCloudPlatform,cloud-vision,20,5
GoogleCloudPlatform,cloud-vision,21,60
GoogleCloudPlatform,cloud-vision,22,37
GoogleCloudPlatform,cloud-vision,23,24
GoogleCloudPlatform,cloud-vision,24,10
GoogleCloudPlatform,cloud-vision,25,14
GoogleCloudPlatform,cloud-vision,26,30
GoogleCloudPlatform,cloud-vision,27,19
GoogleCloudPlatform,cloud-vision,28,4
GoogleCloudPlatform,cloud-vision,29,11
GoogleCloudPlatform,cloud-vision,30,19
GoogleCloudPlatform,cloud-vision,31,15
GoogleCloudPlatform,cloud-vision,32,11
GoogleCloudPlatform,cloud-vision,33,9
GoogleCloudPlatform,cloud-vision,34,8
GoogleCloudPlatform,cloud-vision,35,6
GoogleCloudPlatform,cloud-vision,36,7
GoogleCloudPlatform,cloud-vision,37,5
GoogleCloudPlatform,cloud-vision,38,6
GoogleCloudPlatform,cloud-vision,39,6
GoogleCloudPlatform,cloud-vision,40,3
GoogleCloudPlatform,cloud-vision,41,6
GoogleCloudPlatform,cloud-vision,43,9
GoogleCloudPlatform,cloud-vision,44,3
GoogleCloudPlatform,cloud-vision,45,5
GoogleCloudPlatform,cloud-vision,46,8
GoogleCloudPlatform,cloud-vision,47,2
GoogleCloudPlatform,cloud-vision,48,5
GoogleCloudPlatform,cloud-vision,49,4
GoogleCloudPlatform,cloud-vision,50,12
GoogleCloudPlatform,cloud-vision,51,5
GoogleCloudPlatform,cloud-vision,52,5
GoogleCloudPlatform,gcsfuse,1,2
GoogleCloudPlatform,gcsfuse,2,3
GoogleCloudPlatform,gcsfuse,4,7
GoogleCloudPlatform,gcsfuse,5,2
GoogleCloudPlatform,gcsfuse,6,5
GoogleCloudPlatform,gcsfuse,7,6
GoogleCloudPlatform,gcsfuse,8,2
GoogleCloudPlatform,gcsfuse,9,1
GoogleCloudPlatform,gcsfuse,10,4
GoogleCloudPlatform,gcsfuse,11,1
GoogleCloudPlatform,gcsfuse,12,2
GoogleCloudPlatform,gcsfuse,13,1
GoogleCloudPlatform,gcsfuse,14,3
GoogleCloudPlatform,gcsfuse,15,2
GoogleCloudPlatform,gcsfuse,17,1
