owner,repo,weekofyear,stars
IanLunn,Hover,1,15
IanLunn,Hover,2,84
IanLunn,Hover,3,67
IanLunn,Hover,4,74
IanLunn,Hover,5,82
IanLunn,Hover,6,95
IanLunn,Hover,7,72
IanLunn,Hover,8,76
IanLunn,Hover,9,55
IanLunn,Hover,10,66
IanLunn,Hover,11,56
IanLunn,Hover,12,70
IanLunn,Hover,13,60
IanLunn,Hover,14,75
IanLunn,Hover,15,71
IanLunn,Hover,16,79
IanLunn,Hover,17,107
IanLunn,Hover,18,90
IanLunn,Hover,19,94
IanLunn,Hover,20,67
IanLunn,Hover,21,68
IanLunn,Hover,22,60
IanLunn,Hover,23,85
IanLunn,Hover,24,78
IanLunn,Hover,25,79
IanLunn,Hover,26,96
IanLunn,Hover,27,100
IanLunn,Hover,28,96
IanLunn,Hover,29,104
IanLunn,Hover,30,74
IanLunn,Hover,31,78
IanLunn,Hover,32,58
IanLunn,Hover,33,68
IanLunn,Hover,34,72
IanLunn,Hover,35,92
IanLunn,Hover,36,68
IanLunn,Hover,37,66
IanLunn,Hover,38,60
IanLunn,Hover,39,74
IanLunn,Hover,40,69
IanLunn,Hover,41,59
IanLunn,Hover,42,90
IanLunn,Hover,43,76
IanLunn,Hover,44,57
IanLunn,Hover,45,86
IanLunn,Hover,46,59
IanLunn,Hover,47,54
IanLunn,Hover,48,45
IanLunn,Hover,49,81
IanLunn,Hover,50,82
IanLunn,Hover,51,71
IanLunn,Hover,52,53
JakeWharton,ViewPagerIndicator,1,3
JakeWharton,ViewPagerIndicator,2,51
JakeWharton,ViewPagerIndicator,3,21
JakeWharton,ViewPagerIndicator,4,25
JakeWharton,ViewPagerIndicator,5,34
JakeWharton,ViewPagerIndicator,6,34
JakeWharton,ViewPagerIndicator,7,42
JakeWharton,ViewPagerIndicator,8,46
JakeWharton,ViewPagerIndicator,9,28
JakeWharton,ViewPagerIndicator,10,46
JakeWharton,ViewPagerIndicator,11,36
JakeWharton,ViewPagerIndicator,12,39
JakeWharton,ViewPagerIndicator,13,42
JakeWharton,ViewPagerIndicator,14,31
JakeWharton,ViewPagerIndicator,15,46
JakeWharton,ViewPagerIndicator,16,40
JakeWharton,ViewPagerIndicator,17,52
JakeWharton,ViewPagerIndicator,18,40
