owner,repo,additions,commits,deletions,weekofyear
IanLunn,Hover,0,0,0,1
JakeWharton,ViewPagerIndicator,0,0,0,1
carrierwaveuploader,carrierwave,0,0,0,1
eczarny,spectacle,1937,12,1469,1
inconshreveable,ngrok,0,0,0,1
jquery,jquery-ui,111,14,96,1
jschr,bootstrap-modal,0,0,0,1
lebinh,ngxtop,0,0,0,1
madebymany,sir-trevor-js,0,0,0,1
rendrjs,rendr,0,0,0,1
IanLunn,Hover,0,0,0,2
JakeWharton,ViewPagerIndicator,0,0,0,2
carrierwaveuploader,carrierwave,0,0,0,2
eczarny,spectacle,0,0,0,2
inconshreveable,ngrok,0,0,0,2
jquery,jquery-ui,440,12,546,2
jschr,bootstrap-modal,0,0,0,2
lebinh,ngxtop,0,0,0,2
madebymany,sir-trevor-js,1,1,1,2
rendrjs,rendr,0,0,0,2
IanLunn,Hover,0,0,0,3
JakeWharton,ViewPagerIndicator,0,0,0,3
carrierwaveuploader,carrierwave,0,0,0,3
eczarny,spectacle,0,0,0,3
inconshreveable,ngrok,0,0,0,3
jquery,jquery-ui,58,10,44,3
jschr,bootstrap-modal,0,0,0,3
lebinh,ngxtop,0,0,0,3
madebymany,sir-trevor-js,0,0,0,3
rendrjs,rendr,0,0,0,3
IanLunn,Hover,0,0,0,4
JakeWharton,ViewPagerIndicator,0,0,0,4
carrierwaveuploader,carrierwave,0,0,0,4
eczarny,spectacle,0,0,0,4
inconshreveable,ngrok,0,0,0,4
jquery,jquery-ui,133,9,52,4
jschr,bootstrap-modal,0,0,0,4
lebinh,ngxtop,0,0,0,4
madebymany,sir-trevor-js,0,0,0,4
rendrjs,rendr,0,0,0,4
IanLunn,Hover,0,0,0,5
JakeWharton,ViewPagerIndicator,0,0,0,5
carrierwaveuploader,carrierwave,0,0,0,5
eczarny,spectacle,60,2,65,5
inconshreveable,ngrok,0,0,0,5
jquery,jquery-ui,54,3,69,5
jschr,bootstrap-modal,0,0,0,5
lebinh,ngxtop,0,0,0,5
madebymany,sir-trevor-js,12,3,4,5
rendrjs,rendr,49,1,22,5
