,all_commits,owner_commits,owner,repo
0,0,0,lebinh,ngxtop
1,0,0,lebinh,ngxtop
2,0,0,lebinh,ngxtop
3,0,0,lebinh,ngxtop
4,0,0,lebinh,ngxtop
5,0,0,lebinh,ngxtop
6,0,0,lebinh,ngxtop
7,0,0,lebinh,ngxtop
8,0,0,lebinh,ngxtop
9,0,0,lebinh,ngxtop
10,0,0,lebinh,ngxtop
11,0,0,lebinh,ngxtop
12,0,0,lebinh,ngxtop
13,0,0,lebinh,ngxtop
14,0,0,lebinh,ngxtop
15,0,0,lebinh,ngxtop
16,0,0,lebinh,ngxtop
17,0,0,lebinh,ngxtop
18,0,0,lebinh,ngxtop
19,0,0,lebinh,ngxtop
20,0,0,lebinh,ngxtop
21,0,0,lebinh,ngxtop
22,0,0,lebinh,ngxtop
23,0,0,lebinh,ngxtop
24,0,0,lebinh,ngxtop
25,0,0,lebinh,ngxtop
26,0,0,lebinh,ngxtop
27,0,0,lebinh,ngxtop
28,0,0,lebinh,ngxtop
29,0,0,lebinh,ngxtop
30,0,0,lebinh,ngxtop
31,0,0,lebinh,ngxtop
32,0,0,lebinh,ngxtop
33,0,0,lebinh,ngxtop
34,0,0,lebinh,ngxtop
35,0,0,lebinh,ngxtop
36,0,0,lebinh,ngxtop
37,0,0,lebinh,ngxtop
38,0,0,lebinh,ngxtop
39,0,0,lebinh,ngxtop
40,0,0,lebinh,ngxtop
41,0,0,lebinh,ngxtop
42,0,0,lebinh,ngxtop
43,0,0,lebinh,ngxtop
44,0,0,lebinh,ngxtop
45,0,0,lebinh,ngxtop
46,0,0,lebinh,ngxtop
47,0,0,lebinh,ngxtop
48,0,0,lebinh,ngxtop
49,0,0,lebinh,ngxtop
50,0,0,lebinh,ngxtop
51,0,0,lebinh,ngxtop
0,0,0,IanLunn,Hover
1,0,0,IanLunn,Hover
2,0,0,IanLunn,Hover
3,0,0,IanLunn,Hover
4,0,0,IanLunn,Hover
5,0,0,IanLunn,Hover
6,0,0,IanLunn,Hover
7,0,0,IanLunn,Hover
8,0,0,IanLunn,Hover
9,0,0,IanLunn,Hover
10,0,0,IanLunn,Hover
11,0,0,IanLunn,Hover
12,0,0,IanLunn,Hover
13,0,0,IanLunn,Hover
14,0,0,IanLunn,Hover
15,0,0,IanLunn,Hover
16,0,0,IanLunn,Hover
17,0,0,IanLunn,Hover
18,0,0,IanLunn,Hover
19,1,1,IanLunn,Hover
20,0,0,IanLunn,Hover
21,0,0,IanLunn,Hover
22,0,0,IanLunn,Hover
23,0,0,IanLunn,Hover
24,0,0,IanLunn,Hover
25,0,0,IanLunn,Hover
26,0,0,IanLunn,Hover
27,0,0,IanLunn,Hover
28,0,0,IanLunn,Hover
29,0,0,IanLunn,Hover
30,0,0,IanLunn,Hover
31,0,0,IanLunn,Hover
32,0,0,IanLunn,Hover
33,0,0,IanLunn,Hover
34,0,0,IanLunn,Hover
35,0,0,IanLunn,Hover
36,0,0,IanLunn,Hover
37,0,0,IanLunn,Hover
38,0,0,IanLunn,Hover
39,0,0,IanLunn,Hover
40,0,0,IanLunn,Hover
41,0,0,IanLunn,Hover
42,0,0,IanLunn,Hover
43,0,0,IanLunn,Hover
44,0,0,IanLunn,Hover
45,0,0,IanLunn,Hover
46,0,0,IanLunn,Hover
47,0,0,IanLunn,Hover
48,0,0,IanLunn,Hover
49,0,0,IanLunn,Hover
50,0,0,IanLunn,Hover
51,0,0,IanLunn,Hover
0,11,11,eczarny,spectacle
1,1,1,eczarny,spectacle
2,0,0,eczarny,spectacle
3,0,0,eczarny,spectacle
4,1,0,eczarny,spectacle
5,2,1,eczarny,spectacle
6,0,0,eczarny,spectacle
7,0,0,eczarny,spectacle
8,0,0,eczarny,spectacle
9,0,0,eczarny,spectacle
10,0,0,eczarny,spectacle
11,0,0,eczarny,spectacle
12,0,0,eczarny,spectacle
13,0,0,eczarny,spectacle
14,0,0,eczarny,spectacle
15,0,0,eczarny,spectacle
16,0,0,eczarny,spectacle
17,0,0,eczarny,spectacle
18,1,0,eczarny,spectacle
19,0,0,eczarny,spectacle
20,0,0,eczarny,spectacle
21,22,20,eczarny,spectacle
22,10,10,eczarny,spectacle
23,0,0,eczarny,spectacle
24,0,0,eczarny,spectacle
25,0,0,eczarny,spectacle
26,0,0,eczarny,spectacle
27,0,0,eczarny,spectacle
28,0,0,eczarny,spectacle
29,0,0,eczarny,spectacle
30,6,5,eczarny,spectacle
31,22,22,eczarny,spectacle
32,11,11,eczarny,spectacle
33,3,3,eczarny,spectacle
34,0,0,eczarny,spectacle
35,0,0,eczarny,spectacle
36,0,0,eczarny,spectacle
37,0,0,eczarny,spectacle
38,0,0,eczarny,spectacle
39,0,0,eczarny,spectacle
40,0,0,eczarny,spectacle
41,0,0,eczarny,spectacle
42,0,0,eczarny,spectacle
43,1,0,eczarny,spectacle
44,0,0,eczarny,spectacle
45,1,0,eczarny,spectacle
46,0,0,eczarny,spectacle
47,0,0,eczarny,spectacle
48,0,0,eczarny,spectacle
49,4,4,eczarny,spectacle
50,36,36,eczarny,spectacle
51,6,6,eczarny,spectacle
0,0,0,JakeWharton,ViewPagerIndicator
1,0,0,JakeWharton,ViewPagerIndicator
2,0,0,JakeWharton,ViewPagerIndicator
3,0,0,JakeWharton,ViewPagerIndicator
4,0,0,JakeWharton,ViewPagerIndicator
5,0,0,JakeWharton,ViewPagerIndicator
6,0,0,JakeWharton,ViewPagerIndicator
7,0,0,JakeWharton,ViewPagerIndicator
8,0,0,JakeWharton,ViewPagerIndicator
9,0,0,JakeWharton,ViewPagerIndicator
10,0,0,JakeWharton,ViewPagerIndicator
11,0,0,JakeWharton,ViewPagerIndicator
12,0,0,JakeWharton,ViewPagerIndicator
13,0,0,JakeWharton,ViewPagerIndicator
14,0,0,JakeWharton,ViewPagerIndicator
15,0,0,JakeWharton,ViewPagerIndicator
16,0,0,JakeWharton,ViewPagerIndicator
17,0,0,JakeWharton,ViewPagerIndicator
18,0,0,JakeWharton,ViewPagerIndicator
19,0,0,JakeWharton,ViewPagerIndicator
20,0,0,JakeWharton,ViewPagerIndicator
21,0,0,JakeWharton,ViewPagerIndicator
22,0,0,JakeWharton,ViewPagerIndicator
23,0,0,JakeWharton,ViewPagerIndicator
24,0,0,JakeWharton,ViewPagerIndicator
25,0,0,JakeWharton,ViewPagerIndicator
26,0,0,JakeWharton,ViewPagerIndicator
27,0,0,JakeWharton,ViewPagerIndicator
28,0,0,JakeWharton,ViewPagerIndicator
29,0,0,JakeWharton,ViewPagerIndicator
30,0,0,JakeWharton,ViewPagerIndicator
31,0,0,JakeWharton,ViewPagerIndicator
32,0,0,JakeWharton,ViewPagerIndicator
33,0,0,JakeWharton,ViewPagerIndicator
34,0,0,JakeWharton,ViewPagerIndicator
35,0,0,JakeWharton,ViewPagerIndicator
36,0,0,JakeWharton,ViewPagerIndicator
37,0,0,JakeWharton,ViewPagerIndicator
38,0,0,JakeWharton,ViewPagerIndicator
39,0,0,JakeWharton,ViewPagerIndicator
40,0,0,JakeWharton,ViewPagerIndicator
41,0,0,JakeWharton,ViewPagerIndicator
42,0,0,JakeWharton,ViewPagerIndicator
43,0,0,JakeWharton,ViewPagerIndicator
44,0,0,JakeWharton,ViewPagerIndicator
45,0,0,JakeWharton,ViewPagerIndicator
46,0,0,JakeWharton,ViewPagerIndicator
47,0,0,JakeWharton,ViewPagerIndicator
48,0,0,JakeWharton,ViewPagerIndicator
49,0,0,JakeWharton,ViewPagerIndicator
