,day_of_week,hour_of_day,num_of_commits,owner,repo
0,0,0,0,lebinh,ngxtop
1,0,1,0,lebinh,ngxtop
2,0,2,0,lebinh,ngxtop
3,0,3,0,lebinh,ngxtop
4,0,4,0,lebinh,ngxtop
5,0,5,0,lebinh,ngxtop
6,0,6,0,lebinh,ngxtop
7,0,7,0,lebinh,ngxtop
8,0,8,0,lebinh,ngxtop
9,0,9,0,lebinh,ngxtop
10,0,10,0,lebinh,ngxtop
11,0,11,0,lebinh,ngxtop
12,0,12,0,lebinh,ngxtop
13,0,13,1,lebinh,ngxtop
14,0,14,0,lebinh,ngxtop
15,0,15,0,lebinh,ngxtop
16,0,16,0,lebinh,ngxtop
17,0,17,0,lebinh,ngxtop
18,0,18,0,lebinh,ngxtop
19,0,19,0,lebinh,ngxtop
20,0,20,0,lebinh,ngxtop
21,0,21,0,lebinh,ngxtop
22,0,22,0,lebinh,ngxtop
23,0,23,0,lebinh,ngxtop
24,1,0,1,lebinh,ngxtop
25,1,1,0,lebinh,ngxtop
26,1,2,0,lebinh,ngxtop
27,1,3,0,lebinh,ngxtop
28,1,4,0,lebinh,ngxtop
29,1,5,0,lebinh,ngxtop
30,1,6,0,lebinh,ngxtop
31,1,7,0,lebinh,ngxtop
32,1,8,0,lebinh,ngxtop
33,1,9,0,lebinh,ngxtop
34,1,10,0,lebinh,ngxtop
35,1,11,0,lebinh,ngxtop
36,1,12,0,lebinh,ngxtop
37,1,13,0,lebinh,ngxtop
38,1,14,0,lebinh,ngxtop
39,1,15,0,lebinh,ngxtop
40,1,16,0,lebinh,ngxtop
41,1,17,0,lebinh,ngxtop
42,1,18,0,lebinh,ngxtop
43,1,19,0,lebinh,ngxtop
44,1,20,1,lebinh,ngxtop
45,1,21,0,lebinh,ngxtop
46,1,22,1,lebinh,ngxtop
47,1,23,3,lebinh,ngxtop
48,2,0,3,lebinh,ngxtop
49,2,1,0,lebinh,ngxtop
50,2,2,0,lebinh,ngxtop
51,2,3,0,lebinh,ngxtop
52,2,4,0,lebinh,ngxtop
53,2,5,0,lebinh,ngxtop
54,2,6,0,lebinh,ngxtop
55,2,7,0,lebinh,ngxtop
56,2,8,0,lebinh,ngxtop
57,2,9,0,lebinh,ngxtop
58,2,10,0,lebinh,ngxtop
59,2,11,1,lebinh,ngxtop
60,2,12,1,lebinh,ngxtop
61,2,13,0,lebinh,ngxtop
62,2,14,0,lebinh,ngxtop
63,2,15,0,lebinh,ngxtop
64,2,16,0,lebinh,ngxtop
65,2,17,0,lebinh,ngxtop
66,2,18,0,lebinh,ngxtop
67,2,19,0,lebinh,ngxtop
68,2,20,0,lebinh,ngxtop
69,2,21,0,lebinh,ngxtop
70,2,22,0,lebinh,ngxtop
71,2,23,0,lebinh,ngxtop
72,3,0,0,lebinh,ngxtop
73,3,1,0,lebinh,ngxtop
74,3,2,0,lebinh,ngxtop
75,3,3,0,lebinh,ngxtop
76,3,4,0,lebinh,ngxtop
77,3,5,0,lebinh,ngxtop
78,3,6,0,lebinh,ngxtop
79,3,7,0,lebinh,ngxtop
80,3,8,0,lebinh,ngxtop
81,3,9,0,lebinh,ngxtop
82,3,10,1,lebinh,ngxtop
83,3,11,0,lebinh,ngxtop
84,3,12,0,lebinh,ngxtop
85,3,13,0,lebinh,ngxtop
86,3,14,1,lebinh,ngxtop
87,3,15,0,lebinh,ngxtop
88,3,16,0,lebinh,ngxtop
89,3,17,0,lebinh,ngxtop
90,3,18,0,lebinh,ngxtop
91,3,19,0,lebinh,ngxtop
92,3,20,0,lebinh,ngxtop
93,3,21,0,lebinh,ngxtop
94,3,22,0,lebinh,ngxtop
95,3,23,0,lebinh,ngxtop
96,4,0,0,lebinh,ngxtop
97,4,1,0,lebinh,ngxtop
98,4,2,0,lebinh,ngxtop
99,4,3,1,lebinh,ngxtop
100,4,4,0,lebinh,ngxtop
101,4,5,0,lebinh,ngxtop
102,4,6,0,lebinh,ngxtop
103,4,7,0,lebinh,ngxtop
104,4,8,0,lebinh,ngxtop
105,4,9,0,lebinh,ngxtop
106,4,10,0,lebinh,ngxtop
107,4,11,0,lebinh,ngxtop
108,4,12,0,lebinh,ngxtop
109,4,13,0,lebinh,ngxtop
110,4,14,0,lebinh,ngxtop
111,4,15,0,lebinh,ngxtop
112,4,16,0,lebinh,ngxtop
113,4,17,0,lebinh,ngxtop
114,4,18,0,lebinh,ngxtop
115,4,19,0,lebinh,ngxtop
116,4,20,0,lebinh,ngxtop
117,4,21,0,lebinh,ngxtop
118,4,22,0,lebinh,ngxtop
119,4,23,0,lebinh,ngxtop
120,5,0,0,lebinh,ngxtop
121,5,1,0,lebinh,ngxtop
122,5,2,0,lebinh,ngxtop
123,5,3,0,lebinh,ngxtop
124,5,4,0,lebinh,ngxtop
125,5,5,0,lebinh,ngxtop
126,5,6,0,lebinh,ngxtop
127,5,7,0,lebinh,ngxtop
128,5,8,0,lebinh,ngxtop
129,5,9,0,lebinh,ngxtop
130,5,10,0,lebinh,ngxtop
131,5,11,0,lebinh,ngxtop
132,5,12,0,lebinh,ngxtop
133,5,13,0,lebinh,ngxtop
134,5,14,0,lebinh,ngxtop
135,5,15,2,lebinh,ngxtop
136,5,16,0,lebinh,ngxtop
137,5,17,0,lebinh,ngxtop
138,5,18,2,lebinh,ngxtop
139,5,19,0,lebinh,ngxtop
140,5,20,3,lebinh,ngxtop
141,5,21,0,lebinh,ngxtop
142,5,22,1,lebinh,ngxtop
143,5,23,2,lebinh,ngxtop
144,6,0,0,lebinh,ngxtop
145,6,1,0,lebinh,ngxtop
146,6,2,0,lebinh,ngxtop
147,6,3,0,lebinh,ngxtop
148,6,4,0,lebinh,ngxtop
149,6,5,0,lebinh,ngxtop
150,6,6,0,lebinh,ngxtop
151,6,7,0,lebinh,ngxtop
152,6,8,0,lebinh,ngxtop
153,6,9,0,lebinh,ngxtop
154,6,10,0,lebinh,ngxtop
155,6,11,1,lebinh,ngxtop
156,6,12,0,lebinh,ngxtop
157,6,13,0,lebinh,ngxtop
158,6,14,0,lebinh,ngxtop
159,6,15,0,lebinh,ngxtop
160,6,16,0,lebinh,ngxtop
161,6,17,0,lebinh,ngxtop
162,6,18,1,lebinh,ngxtop
163,6,19,0,lebinh,ngxtop
164,6,20,0,lebinh,ngxtop
165,6,21,0,lebinh,ngxtop
166,6,22,1,lebinh,ngxtop
167,6,23,0,lebinh,ngxtop
0,0,0,0,IanLunn,Hover
1,0,1,0,IanLunn,Hover
2,0,2,0,IanLunn,Hover
3,0,3,0,IanLunn,Hover
4,0,4,0,IanLunn,Hover
5,0,5,0,IanLunn,Hover
6,0,6,0,IanLunn,Hover
7,0,7,0,IanLunn,Hover
8,0,8,0,IanLunn,Hover
9,0,9,0,IanLunn,Hover
10,0,10,0,IanLunn,Hover
11,0,11,0,IanLunn,Hover
12,0,12,0,IanLunn,Hover
13,0,13,1,IanLunn,Hover
14,0,14,0,IanLunn,Hover
15,0,15,4,IanLunn,Hover
16,0,16,0,IanLunn,Hover
17,0,17,0,IanLunn,Hover
18,0,18,1,IanLunn,Hover
19,0,19,0,IanLunn,Hover
20,0,20,0,IanLunn,Hover
21,0,21,0,IanLunn,Hover
22,0,22,0,IanLunn,Hover
23,0,23,0,IanLunn,Hover
24,1,0,0,IanLunn,Hover
25,1,1,0,IanLunn,Hover
26,1,2,0,IanLunn,Hover
27,1,3,0,IanLunn,Hover
28,1,4,0,IanLunn,Hover
29,1,5,0,IanLunn,Hover
30,1,6,0,IanLunn,Hover
31,1,7,0,IanLunn,Hover
32,1,8,0,IanLunn,Hover
33,1,9,0,IanLunn,Hover
34,1,10,2,IanLunn,Hover
35,1,11,2,IanLunn,Hover
36,1,12,0,IanLunn,Hover
37,1,13,0,IanLunn,Hover
38,1,14,0,IanLunn,Hover
39,1,15,1,IanLunn,Hover
40,1,16,1,IanLunn,Hover
41,1,17,1,IanLunn,Hover
42,1,18,0,IanLunn,Hover
43,1,19,1,IanLunn,Hover
44,1,20,1,IanLunn,Hover
45,1,21,0,IanLunn,Hover
46,1,22,0,IanLunn,Hover
47,1,23,0,IanLunn,Hover
48,2,0,0,IanLunn,Hover
49,2,1,0,IanLunn,Hover
50,2,2,0,IanLunn,Hover
51,2,3,0,IanLunn,Hover
52,2,4,0,IanLunn,Hover
53,2,5,0,IanLunn,Hover
54,2,6,0,IanLunn,Hover
55,2,7,0,IanLunn,Hover
56,2,8,0,IanLunn,Hover
57,2,9,1,IanLunn,Hover
58,2,10,0,IanLunn,Hover
59,2,11,1,IanLunn,Hover
60,2,12,1,IanLunn,Hover
61,2,13,0,IanLunn,Hover
62,2,14,3,IanLunn,Hover
63,2,15,2,IanLunn,Hover
64,2,16,1,IanLunn,Hover
65,2,17,0,IanLunn,Hover
66,2,18,0,IanLunn,Hover
67,2,19,2,IanLunn,Hover
68,2,20,0,IanLunn,Hover
69,2,21,0,IanLunn,Hover
70,2,22,1,IanLunn,Hover
71,2,23,0,IanLunn,Hover
72,3,0,0,IanLunn,Hover
73,3,1,0,IanLunn,Hover
74,3,2,0,IanLunn,Hover
75,3,3,0,IanLunn,Hover
76,3,4,0,IanLunn,Hover
77,3,5,0,IanLunn,Hover
78,3,6,0,IanLunn,Hover
79,3,7,0,IanLunn,Hover
80,3,8,0,IanLunn,Hover
81,3,9,0,IanLunn,Hover
82,3,10,1,IanLunn,Hover
83,3,11,1,IanLunn,Hover
84,3,12,1,IanLunn,Hover
85,3,13,0,IanLunn,Hover
86,3,14,2,IanLunn,Hover
87,3,15,1,IanLunn,Hover
88,3,16,5,IanLunn,Hover
89,3,17,2,IanLunn,Hover
90,3,18,4,IanLunn,Hover
91,3,19,1,IanLunn,Hover
92,3,20,1,IanLunn,Hover
93,3,21,0,IanLunn,Hover
94,3,22,0,IanLunn,Hover
95,3,23,0,IanLunn,Hover
96,4,0,0,IanLunn,Hover
97,4,1,1,IanLunn,Hover
98,4,2,0,IanLunn,Hover
99,4,3,0,IanLunn,Hover
100,4,4,0,IanLunn,Hover
101,4,5,0,IanLunn,Hover
102,4,6,1,IanLunn,Hover
103,4,7,0,IanLunn,Hover
104,4,8,0,IanLunn,Hover
105,4,9,1,IanLunn,Hover
