,a,c,d,contributorName,owner,repo,userType
0,7,1,1,jreese,lebinh,ngxtop,User
0,1,1,1,amuraru,lebinh,ngxtop,User
0,5,1,3,jlec,lebinh,ngxtop,User
0,3,1,3,jleclanche,lebinh,ngxtop,User
0,5,2,2,bndr,lebinh,ngxtop,User
0,6,3,6,haguenau,lebinh,ngxtop,User
0,108,5,21,mcortizo,lebinh,ngxtop,User
0,1449,13,671,lebinh,lebinh,ngxtop,User
0,1822,1,1864,leandono,IanLunn,Hover,User
0,2,1,0,gitter-badger,IanLunn,Hover,User
0,1,1,1,ratbeard,IanLunn,Hover,User
0,14,1,0,marcobiedermann,IanLunn,Hover,User
0,49,1,0,Dusandinho,IanLunn,Hover,User
0,1,1,1,joseluis,IanLunn,Hover,User
0,1,1,1,zachlatta,IanLunn,Hover,User
0,2,1,2,fay-jai,IanLunn,Hover,User
0,18,2,18,sturobson,IanLunn,Hover,User
0,70,2,212,colbyfayock,IanLunn,Hover,User
0,10,2,10,benbayard,IanLunn,Hover,User
0,469,3,17,mdavis1982,IanLunn,Hover,User
0,913,4,478,Jaspur,IanLunn,Hover,User
0,20722,55,7139,IanLunn,IanLunn,Hover,User
0,10,1,2,icecreammatt,eczarny,spectacle,User
0,4,1,3,twlz0ne,eczarny,spectacle,User
0,6,1,6,alexpls,eczarny,spectacle,User
0,1,1,1,kyrsjo,eczarny,spectacle,User
0,116,1,128,gvinciguerra,eczarny,spectacle,User
0,1,1,1,jasondinh,eczarny,spectacle,User
0,2,1,2,ef4,eczarny,spectacle,User
0,4,1,4,rhusar,eczarny,spectacle,User
0,1,1,1,mortonfox,eczarny,spectacle,User
0,0,1,0,bennylope,eczarny,spectacle,User
0,13,1,13,rjchatfield,eczarny,spectacle,User
0,6,1,623,janniklorenz,eczarny,spectacle,User
0,146,2,68,dwayneyuen,eczarny,spectacle,User
0,230,2,4,vitu,eczarny,spectacle,User
0,60,2,65,hpaolini,eczarny,spectacle,User
0,19,2,1,loic-sharma,eczarny,spectacle,User
0,7,2,3,DerrickGold,eczarny,spectacle,User
0,59,3,0,Zeriuno,eczarny,spectacle,User
0,128,10,135,acourtis,eczarny,spectacle,User
0,82143,457,72220,eczarny,eczarny,spectacle,User
0,34,1,1,ohhorob,JakeWharton,ViewPagerIndicator,User
0,2,1,2,chrisbanes,JakeWharton,ViewPagerIndicator,User
0,1,1,1,imminent,JakeWharton,ViewPagerIndicator,User
0,8,1,3,meisteg,JakeWharton,ViewPagerIndicator,User
0,4,1,3,kevinsawicki,JakeWharton,ViewPagerIndicator,User
0,4,1,4,samueltardieu,JakeWharton,ViewPagerIndicator,User
0,2,1,0,akurni,JakeWharton,ViewPagerIndicator,User
0,104,2,35,SimonVT,JakeWharton,ViewPagerIndicator,User
0,2,2,1,rtyley,JakeWharton,ViewPagerIndicator,User
0,21,2,5,jdamcd,JakeWharton,ViewPagerIndicator,User
0,5,2,2,vdesmet93,JakeWharton,ViewPagerIndicator,User
0,16,3,11,protyposis,JakeWharton,ViewPagerIndicator,User
0,54,3,35,scottanderson,JakeWharton,ViewPagerIndicator,User
0,30,4,63,gabrielittner,JakeWharton,ViewPagerIndicator,User
0,13562,187,7647,JakeWharton,JakeWharton,ViewPagerIndicator,User
0,1,1,1,vladikoff,rendrjs,rendr,User
0,1,1,1,timhudson,rendrjs,rendr,User
0,1,1,1,dejanr,rendrjs,rendr,User
0,9,1,1,ChrisWren,rendrjs,rendr,User
0,1,1,1,shalecraig,rendrjs,rendr,User
0,1,1,1,trantorLiu,rendrjs,rendr,User
0,4,1,0,bitdeli-chef,rendrjs,rendr,User
0,1,1,1,eleventigers,rendrjs,rendr,User
0,2,1,2,roncli,rendrjs,rendr,User
0,44,1,0,mwilliams-change,rendrjs,rendr,User
0,3,1,2,vincejl,rendrjs,rendr,User
0,12,1,0,jcblw,rendrjs,rendr,User
0,1,1,1,benhc123,rendrjs,rendr,User
0,2,1,2,pdehaan,rendrjs,rendr,User
0,1,1,1,gdw2,rendrjs,rendr,User
0,3,1,3,7footmoustache,rendrjs,rendr,User
0,3,1,1,wenbing,rendrjs,rendr,User
0,18,1,31,jlogsdon,rendrjs,rendr,User
0,12,1,8,tooxie,rendrjs,rendr,User
0,18,1,3,benjie,rendrjs,rendr,User
0,6,1,0,shebson,rendrjs,rendr,User
0,1,1,1,por,rendrjs,rendr,User
0,1,1,30,akbarahmed,rendrjs,rendr,User
0,0,1,2,chug2k,rendrjs,rendr,User
0,1,1,1,gdi2290,rendrjs,rendr,User
0,7,1,11,prt101g,rendrjs,rendr,User
0,1,1,1,dgurich,rendrjs,rendr,User
0,20,2,5,ymainier,rendrjs,rendr,User
0,2,2,0,ajacksified,rendrjs,rendr,User
0,10,2,6,ben-powers,rendrjs,rendr,User
0,47,2,19,jskulski,rendrjs,rendr,User
0,51,2,0,ErikLarsson82,rendrjs,rendr,User
0,9,2,1,gcorne,rendrjs,rendr,User
0,35,2,24,appajee,rendrjs,rendr,User
0,273,2,263,santiago-villa,rendrjs,rendr,User
0,3,2,2,rcs,rendrjs,rendr,User
0,19,3,10,ryan-rowland,rendrjs,rendr,User
0,74,4,29,mduvall,rendrjs,rendr,User
0,21,5,17,earlonrails,rendrjs,rendr,User
0,69,5,93,koichik,rendrjs,rendr,User
0,94,5,68,lxanders,rendrjs,rendr,User
0,129,6,118,hurrymaplelad,rendrjs,rendr,User
0,506,6,204,crwang,rendrjs,rendr,User
0,21,7,15,jeromegn,rendrjs,rendr,User
0,167,7,39,purusho,rendrjs,rendr,User
0,61,7,4,grydstedt,rendrjs,rendr,User
0,70,8,93,mdimas,rendrjs,rendr,User
0,194,9,113,technicolorenvy,rendrjs,rendr,User
0,74,9,14,saponifi3d,rendrjs,rendr,User
0,229,11,65,jmerrifield,rendrjs,rendr,User
0,246,14,67,smclelland,rendrjs,rendr,User
0,1914,16,189,bigethan,rendrjs,rendr,User
0,646,18,323,trshafer,rendrjs,rendr,User
0,438,18,78,ingiulio,rendrjs,rendr,User
0,380,31,241,c089,rendrjs,rendr,User
0,672,34,1273,braitz,rendrjs,rendr,User
0,5434,37,797,alexindigo,rendrjs,rendr,User
0,1516,49,642,lo1tuma,rendrjs,rendr,User
0,31556,480,29737,spikebrehm,rendrjs,rendr,User
0,1,1,1,fcarriedo,inconshreveable,ngrok,User
0,1,1,1,laike9m,inconshreveable,ngrok,User
0,1,1,1,demetrodon,inconshreveable,ngrok,User
0,7,1,0,is,inconshreveable,ngrok,User
0,1,1,1,philips,inconshreveable,ngrok,User
0,1,1,1,davej,inconshreveable,ngrok,User
0,37,1,5,cnelson,inconshreveable,ngrok,User
0,10,1,0,vroy,inconshreveable,ngrok,User
0,1,1,1,iamvery,inconshreveable,ngrok,User
0,1,1,0,rjocoleman,inconshreveable,ngrok,User
0,1,1,1,marcuscreo,inconshreveable,ngrok,User
0,7,1,7,pborreli,inconshreveable,ngrok,User
0,7,1,7,thurloat,inconshreveable,ngrok,User
0,4,1,4,mattn,inconshreveable,ngrok,User
0,1,1,1,jkeesh,inconshreveable,ngrok,User
0,25,2,9,frankstratton,inconshreveable,ngrok,User
0,29,2,1,danieljimenez,inconshreveable,ngrok,User
0,12,2,9,kyleconroy,inconshreveable,ngrok,User
0,34,3,51,vincentbernat,inconshreveable,ngrok,User
0,15,3,3,ojongerius,inconshreveable,ngrok,User
0,27,3,10,skastel,inconshreveable,ngrok,User
0,41,4,26,cespare,inconshreveable,ngrok,User
0,53,5,11,nickpresta,inconshreveable,ngrok,User
0,19219,233,11232,inconshreveable,inconshreveable,ngrok,User
0,2,1,3,ankr,madebymany,sir-trevor-js,User
0,6,1,5,mattfield,madebymany,sir-trevor-js,User
0,1,1,1,johnfraney,madebymany,sir-trevor-js,User
0,5,1,5,olvado,madebymany,sir-trevor-js,User
0,17,1,1,kehlynch,madebymany,sir-trevor-js,User
0,1,1,1,chriscressman,madebymany,sir-trevor-js,User
0,2,1,0,philippbosch,madebymany,sir-trevor-js,User
0,1,1,1,brooks,madebymany,sir-trevor-js,User
0,3,1,3,makeusabrew,madebymany,sir-trevor-js,User
0,1,1,1,mortonfox,madebymany,sir-trevor-js,User
0,0,1,2,callum,madebymany,sir-trevor-js,User
0,8,1,1,jamesthurley,madebymany,sir-trevor-js,User
0,1,1,1,zerc,madebymany,sir-trevor-js,User
0,2,1,2,dchest,madebymany,sir-trevor-js,User
0,3,1,3,simonsmith,madebymany,sir-trevor-js,User
0,1,1,1,andrewmcdonough,madebymany,sir-trevor-js,User
0,2,1,2,R-Pete-G,madebymany,sir-trevor-js,User
0,1,1,1,atomanyih,madebymany,sir-trevor-js,User
0,1,1,1,lacivert,madebymany,sir-trevor-js,User
0,51,1,0,lenciel,madebymany,sir-trevor-js,User
