,owner,repo,a,c,d,date
0,jquery,jquery-ui,3946,7,3635,2008-05-18 00:00:00
1,jquery,jquery-ui,2512,42,1574,2008-05-25 00:00:00
2,jquery,jquery-ui,52853,83,49087,2008-06-01 00:00:00
3,jquery,jquery-ui,5406,41,1989,2008-06-08 00:00:00
4,jquery,jquery-ui,437,18,365,2008-06-15 00:00:00
5,jquery,jquery-ui,578,40,374,2008-06-22 00:00:00
6,jquery,jquery-ui,18,7,13,2008-06-29 00:00:00
7,jquery,jquery-ui,681,17,617,2008-07-06 00:00:00
8,jquery,jquery-ui,621,12,592,2008-07-13 00:00:00
9,jquery,jquery-ui,16,3,12,2008-07-20 00:00:00
10,jquery,jquery-ui,0,0,0,2008-07-27 00:00:00
11,jquery,jquery-ui,522,15,268,2008-08-03 00:00:00
12,jquery,jquery-ui,348,23,276,2008-08-10 00:00:00
13,jquery,jquery-ui,924,23,357,2008-08-17 00:00:00
14,carrierwaveuploader,carrierwave,1389,8,60,2008-08-24 00:00:00
15,jquery,jquery-ui,641,14,297,2008-08-24 00:00:00
16,carrierwaveuploader,carrierwave,0,0,0,2008-08-31 00:00:00
17,jquery,jquery-ui,316,15,80,2008-08-31 00:00:00
18,carrierwaveuploader,carrierwave,0,0,0,2008-09-07 00:00:00
19,jquery,jquery-ui,154,5,48,2008-09-07 00:00:00
20,carrierwaveuploader,carrierwave,0,0,0,2008-09-14 00:00:00
21,jquery,jquery-ui,12071,27,11977,2008-09-14 00:00:00
22,carrierwaveuploader,carrierwave,0,0,0,2008-09-21 00:00:00
23,jquery,jquery-ui,201,8,85,2008-09-21 00:00:00
24,carrierwaveuploader,carrierwave,0,0,0,2008-09-28 00:00:00
25,jquery,jquery-ui,160,10,64,2008-09-28 00:00:00
26,carrierwaveuploader,carrierwave,158,5,53,2008-10-05 00:00:00
27,jquery,jquery-ui,426,13,1858,2008-10-05 00:00:00
28,carrierwaveuploader,carrierwave,0,0,0,2008-10-12 00:00:00
29,jquery,jquery-ui,35,5,48,2008-10-12 00:00:00
30,carrierwaveuploader,carrierwave,1753,2,1430,2008-10-19 00:00:00
31,jquery,jquery-ui,25,1,25,2008-10-19 00:00:00
32,carrierwaveuploader,carrierwave,0,0,0,2008-10-26 00:00:00
33,jquery,jquery-ui,425,13,338,2008-10-26 00:00:00
34,carrierwaveuploader,carrierwave,0,0,0,2008-11-02 00:00:00
35,jquery,jquery-ui,350,12,436,2008-11-02 00:00:00
36,carrierwaveuploader,carrierwave,0,0,0,2008-11-09 00:00:00
37,jquery,jquery-ui,1453,27,2279,2008-11-09 00:00:00
38,carrierwaveuploader,carrierwave,0,0,0,2008-11-16 00:00:00
39,jquery,jquery-ui,4101,32,4469,2008-11-16 00:00:00
40,carrierwaveuploader,carrierwave,0,0,0,2008-11-23 00:00:00
41,jquery,jquery-ui,65,2,66,2008-11-23 00:00:00
42,carrierwaveuploader,carrierwave,0,0,0,2008-11-30 00:00:00
43,jquery,jquery-ui,2399,7,1680,2008-11-30 00:00:00
44,carrierwaveuploader,carrierwave,0,0,0,2008-12-07 00:00:00
45,jquery,jquery-ui,2019,34,2189,2008-12-07 00:00:00
46,carrierwaveuploader,carrierwave,0,0,0,2008-12-14 00:00:00
47,jquery,jquery-ui,147,17,162,2008-12-14 00:00:00
48,carrierwaveuploader,carrierwave,0,0,0,2008-12-21 00:00:00
49,jquery,jquery-ui,1972,34,11367,2008-12-21 00:00:00
50,carrierwaveuploader,carrierwave,0,0,0,2008-12-28 00:00:00
51,jquery,jquery-ui,11848,125,7239,2008-12-28 00:00:00
52,carrierwaveuploader,carrierwave,0,0,0,2009-01-04 00:00:00
53,jquery,jquery-ui,9098,36,8449,2009-01-04 00:00:00
54,carrierwaveuploader,carrierwave,0,0,0,2009-01-11 00:00:00
55,jquery,jquery-ui,9378,36,13606,2009-01-11 00:00:00
56,carrierwaveuploader,carrierwave,0,0,0,2009-01-18 00:00:00
57,jquery,jquery-ui,11024,46,10788,2009-01-18 00:00:00
58,carrierwaveuploader,carrierwave,757,24,133,2009-01-25 00:00:00
59,jquery,jquery-ui,4283,86,3371,2009-01-25 00:00:00
60,carrierwaveuploader,carrierwave,421,11,99,2009-02-01 00:00:00
61,jquery,jquery-ui,7325,78,5659,2009-02-01 00:00:00
62,carrierwaveuploader,carrierwave,1584,37,598,2009-02-08 00:00:00
63,jquery,jquery-ui,127,22,146,2009-02-08 00:00:00
64,carrierwaveuploader,carrierwave,4952,27,4767,2009-02-15 00:00:00
65,jquery,jquery-ui,5204,19,4753,2009-02-15 00:00:00
66,carrierwaveuploader,carrierwave,4127,21,3927,2009-02-22 00:00:00
67,jquery,jquery-ui,3055,10,114,2009-02-22 00:00:00
68,carrierwaveuploader,carrierwave,1462,5,1393,2009-03-01 00:00:00
69,jquery,jquery-ui,663,33,353,2009-03-01 00:00:00
70,carrierwaveuploader,carrierwave,375,20,136,2009-03-08 00:00:00
71,jquery,jquery-ui,206,10,67,2009-03-08 00:00:00
72,carrierwaveuploader,carrierwave,825,11,503,2009-03-15 00:00:00
73,jquery,jquery-ui,566,23,170,2009-03-15 00:00:00
74,carrierwaveuploader,carrierwave,459,13,70,2009-03-22 00:00:00
75,jquery,jquery-ui,785,8,433,2009-03-22 00:00:00
76,carrierwaveuploader,carrierwave,295,11,198,2009-03-29 00:00:00
77,jquery,jquery-ui,144,4,4,2009-03-29 00:00:00
78,carrierwaveuploader,carrierwave,320,9,74,2009-04-05 00:00:00
79,jquery,jquery-ui,0,0,0,2009-04-05 00:00:00
