repo_name	question_number	is_answered_number	total_view	max_view	total_answer	max_answer
upb	0	0	0.0	0	0.0	0
truth	30	0	104019	94155	42	0
signet	2	0	841	430	1	0
autoparse	1	0	72	72	1	0
google-api-ruby-client	30	0	15999	2346	30	0
tracing-framework	0	0	0.0	0	0.0	0
latency-benchmark	2	0	901	723	1	0
google-api-cpp-client	2	0	376	273	2	0
gwtmockito	11	0	2449	678	9	0
gwteventbinder	1	0	180	180	1	0
go-github	6	0	457	110	6	0
google-apps-script-samples	0	0	0.0	0	0.0	0
paco	0	0	0.0	0	0.0	0
quiver-dart	0	0	0.0	0	0.0	0
google-api-php-client	30	0	5536	2023	24	0
closure-library	30	0	35097	16930	42	0
pepper.js	0	0	0.0	0	0.0	0
blockly	27	0	8644	1613	25	0
liquidfun	14	0	2658	557	8	0
skia	30	0	39510	17277	31	0
radioreceiver	0	0	0.0	0	0.0	0
j2objc	30	0	10593	2331	38	0
snappy	30	0	53217	26740	46	0
palette.js	0	0	0.0	0	0.0	0
iosched	19	0	10505	2595	17	0
web-starter-kit	29	0	12247	1967	26	0
closure-compiler	30	0	17681	9894	41	0
WebFundamentals	0	0	0.0	0	0.0	0
rekall	1	0	76	76	1	0
flatbuffers	30	0	11443	2351	40	0
certificate-transparency	4	0	158	76	3	0
guice	30	0	8066	3185	31	0
kasan	1	0	35	35	1	0
fruit	30	0	24352	14206	57	0
codeworld	1	0	74	74	1	0
VoltAir	0	0	0.0	0	0.0	0
stagehand	3	0	305	214	3	0
jsonnet	11	0	8330	5932	13	0
error-prone	30	0	6099	2893	48	0
blockly-games	0	0	0.0	0	0.0	0
angle	30	0	185409	116020	49	0
protobuf	30	0	12561	6895	32	0
trace-viewer	12	0	13621	5740	18	0
transitfeed	0	0	0.0	0	0.0	0
mathfu	0	0	0.0	0	0.0	0
open-location-code	1	0	98	98	0	0
lovefield	4	0	553	375	1	0
recaptcha	30	0	61429	24327	38	0
physical-web	13	0	2991	1255	17	0
material-design-icons	30	0	43900	14239	51	0
github-issue-mover	0	0	0.0	0	0.0	0
fplutil	1	0	18	18	0	0
personfinder	0	0	0.0	0	0.0	0
google-api-java-client	30	0	54108	21475	39	0
pienoon	0	0	0.0	0	0.0	0
google-api-javascript-client	16	0	37426	8250	20	0
FreeBuilder	1	0	25	25	0	0
kythe	0	0	0.0	0	0.0	0
material-design-lite	30	0	24261	16090	38	0
fonts	30	0	79911	38918	41	0
or-tools	30	0	45378	26001	42	0
classp	0	0	0.0	0	0.0	0
gcm	30	0	67923	63028	32	0
codesearch	1	0	294	294	1	0
UIforETW	0	0	0.0	0	0.0	0
google-api-dotnet-client	11	0	14399	4170	13	0
honggfuzz	0	0	0.0	0	0.0	0
nsjail	0	0	0.0	0	0.0	0
zooshi	0	0	0.0	0	0.0	0
incremental-dom	0	0	0.0	0	0.0	0
jsonapi	30	0	1250	155	27	0
android-gradle-dsl	3	0	1004	937	2	0
sagetv	0	0	0.0	0	0.0	0
binnavi	0	0	0.0	0	0.0	0
santa-tracker-web	0	0	0.0	0	0.0	0
android-classyshark	0	0	0.0	0	0.0	0
vrview	2	0	55	48	0	0
flatui	10	0	6081	3658	8	0
vsaq	0	0	0.0	0	0.0	0
EarlGrey	24	0	2360	290	25	0
tarpc	0	0	0.0	0	0.0	0
marzipano	1	0	20	20	0	0
closure-compiler-js	0	0	0.0	0	0.0	0
gplus-quickstart-php	0	0	0.0	0	0.0	0
androidtv-Leanback	1	0	1501	1501	2	0
tango-examples-c	1	0	47	47	0	0
tango-examples-java	0	0	0.0	0	0.0	0
androidtv-sample-inputs	0	0	0.0	0	0.0	0
tango-examples-unity	0	0	0.0	0	0.0	0
android-ndk	30	0	106563	78486	37	0
io2015-codelabs	0	0	0.0	0	0.0	0
google-services	30	0	49428	24356	50	0
android-vision	20	0	5802	862	14	0
android-audio-high-performance	0	0	0.0	0	0.0	0
appengine-guestbook-python	0	0	0.0	0	0.0	0
go-endpoints	4	0	1104	416	4	0
google-cloud-datastore	30	0	6110	1810	34	0
appengine-angular-gotodos	0	0	0.0	0	0.0	0
google-cloud-python	1	0	30	30	1	0
google-cloud-node	1	0	58	58	0	0
google-cloud-go	1	0	265	265	1	0
nodejs-docker	9	0	2262	1529	6	0
google-cloud-ruby	2	0	224	178	1	0
appengine-mapreduce	24	0	7627	1199	26	0
google-cloud-java	2	0	2118	2057	2	0
DataflowJavaSDK	0	0	0.0	0	0.0	0
gcsfuse	10	0	2778	716	11	0
nodejs-docs-samples	0	0	0.0	0	0.0	0
nodejs-getting-started	0	0	0.0	0	0.0	0
cloud-vision	30	0	4625	1154	30	0
DataflowPythonSDK	0	0	0.0	0	0.0	0
android-maps-utils	17	0	21238	4291	26	0
js-rich-marker	0	0	0.0	0	0.0	0
js-marker-clusterer	0	0	0.0	0	0.0	0
js-store-locator	0	0	0.0	0	0.0	0
OpenInGoogleMaps-iOS	0	0	0.0	0	0.0	0
js-samples	1	0	375	375	1	0
